Company,valuation,date_Joined,industry,city,country,continent,year_founded,funding,select_investors,unicorn-year,years_to_unicorn,valuation_b,fundings_b,fundings_category,valuation_efficiency
Snyk,$9B,21-01-2020,Cybersecurity,Boston,United States,North America,2015,$1B,"BOLDstart Ventures, Google Ventures, Accel",2020,5,9,1,Medium Funding,9
Kavak,$9B,01-10-2020,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,$2B,"DST Global, SoftBank Group, Mountain Nazca",2020,4,9,2,Medium Funding,4.5
N26,$9B,10-01-2019,Fintech,Berlin,Germany,Europe,2013,$2B,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",2019,6,9,2,Medium Funding,4.5
Klaviyo,$9B,17-11-2020,Internet software & services,Boston,United States,North America,2012,$679M,"Summit Partners, Accel, Astral Capital",2020,8,9,0.679,Medium Funding,13.25478645
Niantic,$9B,24-11-2017,Mobile & telecommunications,San Francisco,United States,North America,2015,$770M,"Nintendo, Google, Pokemon Company International, Spark Capital",2017,2,9,0.77,Medium Funding,11.68831169
Tanium,$9B,31-03-2015,Cybersecurity,Kirkland,United States,North America,2007,$775M,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",2015,8,9,0.775,Medium Funding,11.61290323
Dream11,$8B,09-04-2019,Internet software & services,Mumbai,India,Asia,2007,$2B,"Kaalari Capital, Tencent Holdings, Steadview Capital",2019,12,8,2,Medium Funding,4
DJI Innovations,$8B,23-01-2015,Hardware,Shenzhen,China,Asia,2006,$105M,"Accel Partners, Sequoia Capital",2015,9,8,0.105,Low Funding,76.19047619
Netskope,$8B,13-11-2018,Cybersecurity,Santa Clara,United States,North America,2012,$1B,"Lightspeed Venture Partners, Social Capital, Accel",2018,6,8,1,Medium Funding,8
Razorpay,$8B,11-10-2020,Fintech,Bengaluru,India,Asia,2013,$742M,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",2020,7,8,0.742,Medium Funding,10.78167116
Dapper Labs,$8B,30-03-2021,Fintech,Vancouver,Canada,North America,2018,$607M,"Union Square Ventures, Venrock, Andreessen Horowitz",2021,3,8,0.607,Medium Funding,13.17957166
Lacework,$8B,07-01-2021,Cybersecurity,San Jose,United States,North America,2015,$2B,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",2021,6,8,2,Medium Funding,4
Tipalti,$8B,06-10-2020,Fintech,San Mateo,United States,North America,2010,$549M,"01 Advisors, Zeev Ventures, Group 11",2020,10,8,0.549,Medium Funding,14.571949
Hopin,$8B,10-11-2020,Internet software & services,London,United Kingdom,Europe,2019,$1B,"Accel, Northzone Ventures, Institutional Venture Partners",2020,1,8,1,Medium Funding,8
Caris Life Sciences,$8B,12-05-2021,Health,Irving,United States,North America,1996,$1B,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",2021,25,8,1,Medium Funding,8
Ramp,$8B,29-03-2021,Fintech,New York,United States,North America,2019,$660M,"D1 Capital Partners, Stripe, Coatue Management",2021,2,8,0.66,Medium Funding,12.12121212
Tempus,$8B,21-03-2018,Health,Chicago,United States,North America,2015,$820M,"New Enterprise Associates, T. Rowe Associates, Lightbank",2018,3,8,0.82,Medium Funding,9.756097561
Fireblocks,$8B,27-07-2021,Fintech,New York,United States,North America,2018,$1B,"Tenaya Capital, Coatue Management, Stripes Group",2021,3,8,1,Medium Funding,8
Flexport,$8B,30-04-2018,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$2B,"Bloomberg Beta, Founders Fund, First Round Capital",2018,5,8,2,Medium Funding,4
National Stock Exchange of India,$7B,01-07-2020,Fintech,Mumbai,India,Asia,1998,$297M,"TA Associates, SoftBank Group, GS Growth",2020,22,7,0.297,Low Funding,23.56902357
Meicai,$7B,22-06-2016,Mobile & telecommunications,Beijing,China,Asia,2014,$1B,"Tiger Global Management, Blue Lake Capital, ZhenFund",2016,2,7,1,Medium Funding,7
Impossible Foods,$7B,13-05-2019,Consumer & retail,Redwood City,United States,North America,2011,$2B,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2019,8,7,2,Medium Funding,3.5
CRED,$7B,06-04-2021,Fintech,Bengaluru,India,Asia,2018,$922M,"Tiger Global Management, DST Global, Sequoia Capital India",2021,3,7,0.922,Medium Funding,7.592190889
Attentive,$7B,23-09-2020,Mobile & telecommunications,Hoboken,United States,North America,2016,$863M,"NextView Ventures, Eniac Ventures, Sequoia Capital",2020,4,7,0.863,Medium Funding,8.111239861
Ola Cabs,$7B,27-10-2014,Auto & transportation,Bengaluru,India,Asia,2010,$4B,"Accel Partners, SoftBank Group, Sequoia Capital",2014,4,7,4,High Funding,1.75
Rippling,$7B,04-08-2020,Internet software & services,San Francisco,United States,North America,2017,$447M,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",2020,3,7,0.447,Low Funding,15.65995526
Carta,$7B,06-05-2019,Fintech,San Francisco,United States,North America,2012,$1B,"Menlo Ventures, Spark Capital, Union Square Ventures",2019,7,7,1,Medium Funding,7
Toss,$7B,09-12-2018,Fintech,Seoul,South Korea,Asia,2013,$844M,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",2018,5,7,0.844,Medium Funding,8.293838863
Ziroom,$7B,17-01-2018,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$2B,"Sequoia Capital China, Warburg Pincus, General Catalyst",2018,7,7,2,Medium Funding,3.5
Scale AI,$7B,05-08-2019,Artificial intelligence,San Francisco,United States,North America,2018,$603M,"Accel, Y Combinator, Index Ventures",2019,1,7,0.603,Medium Funding,11.60862355
Gong,$7B,12-08-2020,Artificial intelligence,Palo Alto,United States,North America,2015,$583M,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",2020,5,7,0.583,Medium Funding,12.00686106
TripActions,$7B,08-11-2018,Travel,Palo Alto,United States,North America,2015,$912M,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",2018,3,7,0.912,Medium Funding,7.675438596
1Password,$7B,08-07-2021,Cybersecurity,Toronto,Canada,North America,2005,$920M,"Slack Fund, Accel, Skip Capital",2021,16,7,0.92,Medium Funding,7.608695652
Automation Anywhere,$7B,02-07-2018,Artificial intelligence,San Jose,United States,North America,2003,$849M,"General Atlantic, Goldman Sachs, New Enterprise Associates",2018,15,7,0.849,Medium Funding,8.244994111
Gemini,$7B,19-11-2021,Fintech,New York,United States,North America,2015,$424M,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",2021,6,7,0.424,Low Funding,16.50943396
ConsenSys,$7B,17-11-2021,Fintech,New York,United States,North America,2014,$660M,"Third Point, Electric Capital, Coinbase Ventures",2021,7,7,0.66,Medium Funding,10.60606061
Ro,$7B,27-07-2020,Health,New York,United States,North America,2017,$1B,"Initialized Capital, General Catalyst, SignalFire",2020,3,7,1,Medium Funding,7
Black Unicorn Factory,$6B,20-05-2021,Other,Los Angeles,United States,North America,2020,$645M,Barter Ventures,2021,1,6,0.645,Medium Funding,9.302325581
Easyhome,$6B,12-02-2018,Consumer & retail,Beijing,China,Asia,1999,$2B,"Alibaba Group, Boyu Capital, Borui Capital",2018,19,6,2,Medium Funding,3
WeDoctor,$6B,22-09-2015,Health,Hangzhou,China,Asia,2010,$1B,"Tencent, Morningside Group",2015,5,6,1,Medium Funding,6
SVOLT,$6B,08-06-2020,Auto & transportation,Changzhou,China,Asia,2018,$3B,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2020,2,6,3,High Funding,2
Airwallex,$6B,25-03-2019,Fintech,Melbourne,Australia,Oceania,2015,$802M,"DST Global, Sequoia Capital China, Tencent Holdings",2019,4,6,0.802,Medium Funding,7.481296758
Deel,$6B,21-04-2021,Fintech,San Francisco,United States,North America,2018,$629M,"Andreessen Horowitz, Spark Capital, Y Combinator",2021,3,6,0.629,Medium Funding,9.538950715
Mambu,$6B,06-01-2021,Fintech,Amsterdam,Netherlands,Europe,2011,$448M,"Runa Capital, Acton Capital Partners, Point Nine Capital",2021,10,6,0.448,Low Funding,13.39285714
Mollie,$6B,08-09-2020,Fintech,Amsterdam,Netherlands,Europe,2004,$928M,Technology Crossover Ventures,2020,16,6,0.928,Medium Funding,6.465517241
Doctolib,$6B,19-03-2019,Health,Paris,France,Europe,2013,$815M,"BPI France, Kerala Ventures, Accel",2019,6,6,0.815,Medium Funding,7.36196319
FiveTran,$6B,30-06-2020,Data management & analytics,Oakland,United States,North America,2012,$728M,"Matrix Partners, Andreessen Horowitz, General Catalyst",2020,8,6,0.728,Medium Funding,8.241758242
Postman,$6B,11-06-2020,Internet software & services,San Francisco,United States,North America,2014,$433M,"Nexus Venture Partners, CRV, Insight Partners",2020,6,6,0.433,Low Funding,13.85681293
Back Market,$6B,18-05-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2014,$1B,"Aglae Ventures, Eurazeo, Daphni",2021,7,6,1,Medium Funding,6
Cityblock Health,$6B,10-12-2020,Health,Brooklyn,United States,North America,2017,$891M,"Thrive Capital, Maverick Ventures, Redpoint Ventures",2020,3,6,0.891,Medium Funding,6.734006734
DataRobot,$6B,29-07-2019,Artificial intelligence,Boston,United States,North America,2012,$1B,"New Enterprise Associates, Accomplice, IA Ventures",2019,7,6,1,Medium Funding,6
Personio,$6B,19-01-2021,Internet software & services,Munich,Germany,Europe,2015,$524M,"Global Founders Capital, Nortzone Ventures, Picus Capital",2021,6,6,0.524,Medium Funding,11.45038168
RELEX Solutions,$6B,17-02-2022,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,$803M,"Blackstone, Technology Crossover Ventures, Summit Partners",2022,17,6,0.803,Medium Funding,7.471980075
Vice Media,$6B,02-04-2011,Internet software & services,Brooklyn,United States,North America,1994,$1B,"Technology Crossover Ventures, A&E Television Networks",2011,17,6,1,Medium Funding,6
Workato,$6B,12-01-2021,Internet software & services,Mountain View,United States,North America,2013,$415M,"Battery Ventures, Storm Ventures, Redpoint Ventures",2021,8,6,0.415,Low Funding,14.45783133
Upgrade,$6B,12-02-2018,Fintech,San Francisco,United States,North America,2016,$587M,"Union Square Ventures, Ribbit Capital, VY Capital",2018,2,6,0.587,Medium Funding,10.22146508
Lianjia,$6B,07-04-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,$1B,"Tencent, Baidu, Huasheng Capital",2016,15,6,1,Medium Funding,6
Hinge Health,$6B,06-01-2021,Health,San Francisco,United States,North America,2015,$826M,"Atomico, Insight Partners, Coatue Management",2021,6,6,0.826,Medium Funding,7.263922518
Lyra Health,$6B,25-08-2020,Health,Burlingame,United States,North America,2015,$910M,"Greylock Partners, Venrock, Providence Ventures",2020,5,6,0.91,Medium Funding,6.593406593
Benchling,$6B,14-04-2021,Internet software & services,San Francisco,United States,North America,2012,$412M,"Thrive Capital, Benchmark, MenloVentures",2021,9,6,0.412,Low Funding,14.5631068
Better.com,$6B,10-11-2020,Fintech,New York,United States,North America,2018,$405M,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2020,2,6,0.405,Low Funding,14.81481481
iCapital Network,$6B,27-07-2021,Fintech,New York,United States,North America,2013,$729M,"BlackRock, Blackstone, UBS",2021,8,6,0.729,Medium Funding,8.230452675
Wiz,$6B,17-03-2021,Cybersecurity,Tel Aviv,Israel,Asia,2020,$600M,"Insight Partners, Sequoia Capital, Index Ventures",2021,1,6,0.6,Medium Funding,10
DailyHunt,$5B,22-12-2020,Internet software & services,Bengaluru,India,Asia,2007,$869M,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",2020,13,5,0.869,Medium Funding,5.753739931
Howden Group Holdings,$5B,29-09-2020,Other,London,United Kingdom,Europe,1994,$187M,"General Atlantic, 3i Group, Huagai Capital",2020,26,5,0.187,Low Funding,26.73796791
Meesho,$5B,05-04-2021,Internet software & services,Bengaluru,India,Asia,2015,$1B,"Venture Highway, Sequoia Capital India, Prosus Ventures",2021,6,5,1,Medium Funding,5
Meizu Technology,$5B,23-07-2014,Hardware,Zhuhai,China,Asia,2003,$943M,"Telling Telecommunication Holding Co., Alibaba Group",2014,11,5,0.943,Medium Funding,5.302226935
CloudWalk Technology,$5B,08-10-2018,Artificial intelligence,Guangzhou,China,Asia,2015,$514M,"Oriza Holdings, Guangdong Technology Financial Group",2018,3,5,0.514,Medium Funding,9.727626459
Royole Corporation,$5B,18-08-2015,Hardware,Shenzhen,China,Asia,2012,$492M,"Warmsun Holding, IDG Capital Partners",2015,3,5,0.492,Low Funding,10.16260163
Monzo,$5B,31-10-2018,Fintech,London,United Kingdom,Europe,2015,$1B,"Passion Capital, Thrive Capital, Orange Digital Ventures",2018,3,5,1,Medium Funding,5
Socure,$5B,16-03-2021,Cybersecurity,New York,United States,North America,2012,$644M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",2021,9,5,0.644,Medium Funding,7.763975155
VIPKid,$5B,04-08-2016,Edtech,Beijing,China,Asia,2013,$1B,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",2016,3,5,1,Medium Funding,5
Vinted,$5B,27-11-2019,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,$562M,"Accel, Insight Partners, Burda Principal Investments",2019,11,5,0.562,Medium Funding,8.896797153
Lendable,$5B,31-03-2021,Fintech,London,United Kingdom,Europe,2014,$286M,"Ontario Teachers' Pension Plan, Goldman Sachs",2021,7,5,0.286,Low Funding,17.48251748
UBTECH Robotics,$5B,25-07-2016,Hardware,Shenzhen,China,Asia,2012,$943M,"CDH Investments, Goldstone Investments, Qiming Venture Partners",2016,4,5,0.943,Medium Funding,5.302226935
Anduril,$5B,11-09-2019,Artificial intelligence,Irvine,United States,North America,2017,$691M,"Andreessen Horowitz, Founders Fund, Revolution Ventures",2019,2,5,0.691,Medium Funding,7.235890014
Checkr,$5B,19-09-2019,Internet software & services,San Francisco,United States,North America,2014,$559M,"Y Combinator, Accel, T. Rowe Price",2019,5,5,0.559,Medium Funding,8.944543828
Color,$5B,04-01-2021,Health,Burlingame,United States,North America,2013,$497M,"General Catalyst, Viking Global Investors, T. Rowe Price",2021,8,5,0.497,Low Funding,10.06036217
Dataiku,$5B,04-12-2019,Internet software & services,New York,United States,North America,2013,$647M,"Alven Capital, FirstMark Capital, capitalG",2019,6,5,0.647,Medium Funding,7.72797527
BetterUp,$5B,25-02-2021,Internet software & services,San Francisco,United States,North America,2013,$567M,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",2021,8,5,0.567,Medium Funding,8.818342152
Pleo,$5B,06-07-2021,Fintech,Copenhagen,Denmark,Europe,2015,$428M,"Creandum, Founders, Kinnevik",2021,6,5,0.428,Low Funding,11.68224299
Trade Republic,$5B,20-05-2021,Fintech,Berlin,Germany,Europe,2015,$996M,"Founders Fund, Accel, Creandum",2021,6,5,0.996,Medium Funding,5.020080321
Chipone,$5B,16-12-2021,Hardware,Beijing,China,Asia,2008,$1B,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",2021,13,5,1,Medium Funding,5
Collibra,$5B,29-01-2019,Data management & analytics,Brussels,Belgium,Europe,2008,$596M,"Index Ventures, Battery Ventures, ICONIQ Capital",2019,11,5,0.596,Medium Funding,8.389261745
Rappi,$5B,31-08-2018,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,$2B,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",2018,3,5,2,Medium Funding,2.5
6Sense,$5B,30-03-2021,Artificial intelligence,San Francisco,United States,North America,2013,$426M,"Venrock, Battery Ventures, Insight Partners",2021,8,5,0.426,Low Funding,11.7370892
Cerebral,$5B,10-06-2021,Health,San Francisco,United States,North America,2020,$462M,"Oak HC/FT Partners, Artis Ventures, WestCap Group",2021,1,5,0.462,Low Funding,10.82251082
Creditas,$5B,18-12-2020,Fintech,Sao Paulo,Brazil,South America,2012,$824M,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",2020,8,5,0.824,Medium Funding,6.067961165
